id	type	modified	language	rights	rightsHolder	bibliographicCitation	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	individualCount	sex	lifeStage	preparations	disposition	eventDate	year	month	day	verbatimEventDate	habitat	eventRemarks	locationID	continent	waterBody	country	countryCode	stateProvince	locality	verbatimElevation	minimumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
NMR996300015253	Physical object	17-12-2014	en		Natural History Museum Rotterdam	"Prioptera bisignata Boheman, 1862 (NMR 996300015253)"	NMR	Insecta	PreservedSpecimen	NMR996300015253	NMR996300015253		1			whole animal	in collection									Asia		China	CN-37	Shandong				0	0					"Stichopthalma howqua  Westwood, 1851"		Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Stichopthalma		bisignata			"Boheman, 1862"		ICZN	accepted	
NMR996800015915	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Parnassius imperator OberthÃ_r, 1883 (NMR 996800015915)"	NMR	Insecta	PreservedSpecimen	NMR996800015915	NMR996800015915		1			imago	in collection	1903-00-00	1903	0	0					Asia		China	CN-51	Sichuan	"Garze, Ta-tsien-lou (Kanding)"			30.014413	101.962291	WGS84			F.J.A. Slieker	"Sericinus telamon  (Donovan, 1798)"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Sericinus		imperator			"OberthÃ_r, 1883"		ICZN	accepted	
NMR996800016317	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Sericinus telamon (Donovan, 1798) (NMR 996800016317)"	NMR	Insecta	PreservedSpecimen	NMR996800016317	NMR996800016317		1			imago	in collection									Asia		China	CN-37	Shandong	"Kiantschou, Lauschan"			0	0					"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		telamon			"(Donovan, 1798)"		ICZN	accepted	
NMR996800016912	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio paris Linnaeus, 1758 (NMR 996800016912)"	NMR	Insecta	PreservedSpecimen	NMR996800016912	NMR996800016912		1			imago	in collection	1989-07-00	1989	7	0					Asia		China	CN-51	Sichuan	Qingchengshan			30.883333	103.583333	WGS84			F.J.A. Slieker	"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		paris			"Linnaeus, 1758"	Paris Peacock	ICZN	accepted	
NMR996800016924	Physical object	20-02-2015	en		Natural History Museum Rotterdam	"Graphium leechi (Rothschild, 1895) (NMR 996800016924)"	NMR	Insecta	PreservedSpecimen	NMR996800016924	NMR996800016924		1			imago	in collection									Asia		China	CN-11	Beijing	Changyang			39.784796	116.238439	WGS84			F.J.A. Slieker	"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		leechi			"(Rothschild, 1895)"		ICZN	accepted	
NMR996800016928	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio arcturus Westwood, 1842 (NMR 996800016928)"	NMR	Insecta	PreservedSpecimen	NMR996800016928	NMR996800016928		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-36	Jiangxi	"Longnan, Ganzhou"			24.923341	114.804176	WGS84			F.J.A. Slieker	"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		arcturus			"Westwood, 1842"	Blue Peacock	ICZN	accepted	
NMR996800016929	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio arcturus Westwood, 1842 (NMR 996800016929)"	NMR	Insecta	PreservedSpecimen	NMR996800016929	NMR996800016929		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-36	Jiangxi	"Longnan, Ganzhou"			24.923341	114.804176	WGS84			F.J.A. Slieker	"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		arcturus			"Westwood, 1842"	Blue Peacock	ICZN	accepted	
NMR996800016930	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Papilio arcturus Westwood, 1842 (NMR 996800016930)"	NMR	Insecta	PreservedSpecimen	NMR996800016930	NMR996800016930		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-36	Jiangxi	"Longnan, Ganzhou"			24.923341	114.804176	WGS84			F.J.A. Slieker	"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		arcturus			"Westwood, 1842"	Blue Peacock	ICZN	accepted	
NMR996800022520	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Meandrusa sciron (Leech, 1890) (NMR 996800022520)"	NMR	Insecta	PreservedSpecimen	NMR996800022520	NMR996800022520		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-51	Sichuan				0	0					"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		sciron			"(Leech, 1890)"		ICZN	accepted	
NMR996800022521	Physical object	20-02-2015	en	ExColl:J.P. Kazenbroot	Natural History Museum Rotterdam	"Meandrusa sciron (Leech, 1890) (NMR 996800022521)"	NMR	Insecta	PreservedSpecimen	NMR996800022521	NMR996800022521		1			imago	in collection	2002-07-00	2002	7	0					Asia		China	CN-51	Sichuan				0	0					"Satyrium iyonis koiwayai (Inomata, 1989)"		Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Satyrium		sciron			"(Leech, 1890)"		ICZN	accepted	
